,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,2f7d03c0-b484-4caf-b43d-78f9f55382eb,[Ernestine] is [Kathy]'s sister.  [Ernestine] has a daughter called [Crystal].  [David] is a brother of [Crystal]. ,"('Kathy', 'David')",What is the family connection between [Kathy] and [David] ? ,nephew,['[David] is the nephew of [Kathy]. '],[Ernestine] is [Kathy]'s sister.  [Ernestine] has a daughter called [Crystal].  [David] is a brother of [Crystal]. ,"[{('Kathy', 'nephew', 'David'): [('Kathy', 'sister', 'Ernestine'), ('Ernestine', 'son', 'David')]}, {('Ernestine', 'son', 'David'): [('Ernestine', 'daughter', 'Crystal'), ('Crystal', 'brother', 'David')]}]",sister-daughter-brother,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['sister', 'daughter', 'brother']","(0, 3)","Kathy:female,Ernestine:female,Crystal:female,David:male",,"{16: 0, 2: 1, 7: 2, 9: 3}",train
1,aa7b775b-daa2-4bf5-b0e0-dccf8ce1f190,[Karen] is a sister of [Sonya].  [Tracy] is a son of [Greg].  [Greg] is [Karen]'s father. ,"('Sonya', 'Tracy')",What is the family connection between [Sonya] and [Tracy] ? ,brother,"[""[Tracy] is [Sonya]'s brother. ""]",[Karen] is a sister of [Sonya].  [Greg] is [Karen]'s father.  [Tracy] is a son of [Greg]. ,"[{('Sonya', 'brother', 'Tracy'): [('Sonya', 'father', 'Greg'), ('Greg', 'son', 'Tracy')]}, {('Sonya', 'father', 'Greg'): [('Sonya', 'sister', 'Karen'), ('Karen', 'father', 'Greg')]}]",sister-father-son,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['sister', 'father', 'son']","(0, 3)","Sonya:female,Karen:female,Greg:male,Tracy:male",,"{18: 0, 17: 1, 4: 2, 19: 3}",train
2,64efbe89-ad8a-4329-940c-f086bd2972e5,The husband of [Helen] is [Jack].  [Edward] is the father of [Leon].  [Leon] is a brother of [Jack]. ,"('Helen', 'Edward')",How are [Helen] and [Edward] related to each other ? ,father-in-law,['[Edward] is the father-in-law of [Helen]. '],The husband of [Helen] is [Jack].  [Leon] is a brother of [Jack].  [Edward] is the father of [Leon]. ,"[{('Helen', 'father-in-law', 'Edward'): [('Helen', 'husband', 'Jack'), ('Jack', 'father', 'Edward')]}, {('Jack', 'father', 'Edward'): [('Jack', 'brother', 'Leon'), ('Leon', 'father', 'Edward')]}]",husband-brother-father,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['husband', 'brother', 'father']","(0, 3)","Helen:female,Jack:male,Leon:male,Edward:male",,"{33: 0, 15: 1, 12: 2, 3: 3}",train
3,0d460fc8-ba28-4d55-81ef-036bd99df22b,[Greg] is a brother of [Edward].  [Heidi] is a sister of [Jack].  [Edward] is [Heidi]'s father. ,"('Jack', 'Greg')","For [Jack], who is [Greg] ? ",uncle,"[""[Greg] is [Jack]'s uncle. ""]",[Heidi] is a sister of [Jack].  [Edward] is [Heidi]'s father.  [Greg] is a brother of [Edward]. ,"[{('Jack', 'uncle', 'Greg'): [('Jack', 'father', 'Edward'), ('Edward', 'brother', 'Greg')]}, {('Jack', 'father', 'Edward'): [('Jack', 'sister', 'Heidi'), ('Heidi', 'father', 'Edward')]}]",sister-father-brother,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['sister', 'father', 'brother']","(0, 3)","Jack:male,Heidi:female,Edward:male,Greg:male",,"{15: 0, 13: 1, 3: 2, 4: 3}",train
4,ad0780fd-9c06-4d2d-8abf-a8aaed733b7b,[Karen] is a sister of [Sonya].  [Adam] is the grandfather of [Karen].  [Sonya] is [Kathy]'s daughter. ,"('Kathy', 'Adam')","For [Kathy], who is [Adam] ? ",father,"[""[Adam] is [Kathy]'s father. ""]",[Sonya] is [Kathy]'s daughter.  [Karen] is a sister of [Sonya].  [Adam] is the grandfather of [Karen]. ,"[{('Kathy', 'father', 'Adam'): [('Kathy', 'daughter', 'Karen'), ('Karen', 'grandfather', 'Adam')]}, {('Kathy', 'daughter', 'Karen'): [('Kathy', 'daughter', 'Sonya'), ('Sonya', 'sister', 'Karen')]}]",daughter-sister-grandfather,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['daughter', 'sister', 'grandfather']","(0, 3)","Kathy:female,Sonya:female,Karen:female,Adam:male",,"{16: 0, 18: 1, 17: 2, 0: 3}",train
5,7e9d48ab-7cee-41dd-a806-0ea09856688a,[Donald] has a brother named [Jared].  [Karl] has a son called [Donald].  [Karl] is a brother of [Paul]. ,"('Paul', 'Jared')",What is the family connection between [Paul] and [Jared] ? ,nephew,['[Jared] is the nephew of [Paul]. '],[Karl] is a brother of [Paul].  [Karl] has a son called [Donald].  [Donald] has a brother named [Jared]. ,"[{('Paul', 'nephew', 'Jared'): [('Paul', 'brother', 'Karl'), ('Karl', 'son', 'Jared')]}, {('Karl', 'son', 'Jared'): [('Karl', 'son', 'Donald'), ('Donald', 'brother', 'Jared')]}]",brother-son-brother,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['brother', 'son', 'brother']","(0, 3)","Paul:male,Karl:male,Donald:male,Jared:male",,"{6: 0, 5: 1, 22: 2, 23: 3}",train
6,8edfe459-82d2-49fa-831f-3f251ab47bc7,[Jack] is [Edward]'s son.  [Donald] is a son of [Patricia].  [Edward] is [Donald]'s uncle. ,"('Patricia', 'Jack')","For [Patricia], who is [Jack] ? ",nephew,['[Jack] is the nephew of [Patricia]. '],[Donald] is a son of [Patricia].  [Edward] is [Donald]'s uncle.  [Jack] is [Edward]'s son. ,"[{('Patricia', 'nephew', 'Jack'): [('Patricia', 'brother', 'Edward'), ('Edward', 'son', 'Jack')]}, {('Patricia', 'brother', 'Edward'): [('Patricia', 'son', 'Donald'), ('Donald', 'uncle', 'Edward')]}]",son-uncle-son,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['son', 'uncle', 'son']","(0, 3)","Patricia:female,Donald:male,Edward:male,Jack:male",,"{21: 0, 22: 1, 3: 2, 15: 3}",train
7,5085af22-6daf-4a86-bb25-a7dfafaf9cf1,[Heidi] is [Irma]'s daughter.  [Leon] is [Heidi]'s brother.  [Jack] is [Leon]'s brother. ,"('Irma', 'Jack')",Fill in the blanks : [Jack] is [Irma] 's _. ,son,"[""[Jack] is [Irma]'s son. ""]",[Heidi] is [Irma]'s daughter.  [Leon] is [Heidi]'s brother.  [Jack] is [Leon]'s brother. ,"[{('Irma', 'son', 'Jack'): [('Irma', 'son', 'Leon'), ('Leon', 'brother', 'Jack')]}, {('Irma', 'son', 'Leon'): [('Irma', 'daughter', 'Heidi'), ('Heidi', 'brother', 'Leon')]}]",daughter-brother-brother,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['daughter', 'brother', 'brother']","(0, 3)","Irma:female,Heidi:female,Leon:male,Jack:male",,"{11: 0, 13: 1, 12: 2, 15: 3}",train
8,72a29c54-ef5a-49e0-a8c3-526a09f97b06,[Patricia] is [Ernestine]'s sister.  [Edward] has a sister named [Ernestine].  [Edward] is [Joanne]'s son. ,"('Joanne', 'Patricia')",Who is [Patricia] from the point of relation of [Joanne] ? ,daughter,"[""[Patricia] is [Joanne]'s daughter. ""]",[Edward] is [Joanne]'s son.  [Edward] has a sister named [Ernestine].  [Patricia] is [Ernestine]'s sister. ,"[{('Joanne', 'daughter', 'Patricia'): [('Joanne', 'daughter', 'Ernestine'), ('Ernestine', 'sister', 'Patricia')]}, {('Joanne', 'daughter', 'Ernestine'): [('Joanne', 'son', 'Edward'), ('Edward', 'sister', 'Ernestine')]}]",son-sister-sister,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['son', 'sister', 'sister']","(0, 3)","Joanne:female,Edward:male,Ernestine:female,Patricia:female",,"{1: 0, 3: 1, 2: 2, 21: 3}",train
9,d5116700-1e2e-46a6-8293-be09cd4ffccd,[Heidi] is [Edward]'s daughter.  [Edward] is the father of [Lisa].  [Jack] has a sister named [Lisa]. ,"('Jack', 'Heidi')",What is the family connection between [Jack] and [Heidi] ? ,sister,"[""[Heidi] is [Jack]'s sister. ""]",[Jack] has a sister named [Lisa].  [Edward] is the father of [Lisa].  [Heidi] is [Edward]'s daughter. ,"[{('Jack', 'sister', 'Heidi'): [('Jack', 'father', 'Edward'), ('Edward', 'daughter', 'Heidi')]}, {('Jack', 'father', 'Edward'): [('Jack', 'sister', 'Lisa'), ('Lisa', 'father', 'Edward')]}]",sister-father-daughter,task_1.3,"[(0, 1), (1, 2), (2, 3)]","['sister', 'father', 'daughter']","(0, 3)","Jack:male,Lisa:female,Edward:male,Heidi:female",,"{15: 0, 14: 1, 3: 2, 13: 3}",train
