,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,fae93e22-7b1f-4ddc-9a25-19aff9efe701,[Lisa] is a daughter of [Dorothy].  [Ethel] is the aunt of [Lisa]. ,"('Dorothy', 'Ethel')","For [Dorothy], who is [Ethel] ? ",sister,['[Ethel] is a sister of [Dorothy]. '],[Lisa] is a daughter of [Dorothy].  [Ethel] is the aunt of [Lisa]. ,"[{('Dorothy', 'sister', 'Ethel'): [('Dorothy', 'daughter', 'Lisa'), ('Lisa', 'aunt', 'Ethel')]}]",daughter-aunt,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'aunt']","(0, 2)","Dorothy:female,Lisa:female,Ethel:female",,"{4: 0, 17: 1, 5: 2}",train
1,bcf2477a-3222-49c6-8c1e-edbf69fc09aa,[John] is [Lisa]'s grandfather.  [Lee] has a daughter called [Lisa]. ,"('Lee', 'John')",Who is [John] from the point of relation of [Lee] ? ,father,['[John] is the father of [Lee]. '],[Lee] has a daughter called [Lisa].  [John] is [Lisa]'s grandfather. ,"[{('Lee', 'father', 'John'): [('Lee', 'daughter', 'Lisa'), ('Lisa', 'grandfather', 'John')]}]",daughter-grandfather,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandfather']","(0, 2)","Lee:male,Lisa:female,John:male",,"{16: 0, 17: 1, 0: 2}",train
2,24016fb6-65dc-4c1c-8851-abd152a2e256,[Michael] is a son of [Jared].  [Patrick] is [Michael]'s brother. ,"('Jared', 'Patrick')",How are [Jared] and [Patrick] related to each other ? ,son,"[""[Patrick] is [Jared]'s son. ""]",[Michael] is a son of [Jared].  [Patrick] is [Michael]'s brother. ,"[{('Jared', 'son', 'Patrick'): [('Jared', 'son', 'Michael'), ('Michael', 'brother', 'Patrick')]}]",son-brother,task_1.2,"[(0, 1), (1, 2)]","['son', 'brother']","(0, 2)","Jared:male,Michael:male,Patrick:male",,"{11: 0, 12: 1, 15: 2}",train
3,b173ad74-9639-4f45-8be1-8d0a28989230,[Ethel] is [Thomas]'s mother.  The husband of [Meredith] is [Thomas]. ,"('Meredith', 'Ethel')",What is the family connection between [Meredith] and [Ethel] ? ,mother-in-law,"[""[Ethel] is [Meredith]'s mother-in-law. ""]",The husband of [Meredith] is [Thomas].  [Ethel] is [Thomas]'s mother. ,"[{('Meredith', 'mother-in-law', 'Ethel'): [('Meredith', 'husband', 'Thomas'), ('Thomas', 'mother', 'Ethel')]}]",husband-mother,task_1.2,"[(0, 1), (1, 2)]","['husband', 'mother']","(0, 2)","Meredith:female,Thomas:male,Ethel:female",,"{38: 0, 22: 1, 5: 2}",train
4,64d6b7b9-00e3-4d0f-a0c3-66500f322c7b,[David] is a son of [Elsie].  [Elsie] is [John]'s daughter. ,"('John', 'David')",Fill in the blanks : [David] is [John] 's _. ,grandson,['[David] is the grandson of [John]. '],[Elsie] is [John]'s daughter.  [David] is a son of [Elsie]. ,"[{('John', 'grandson', 'David'): [('John', 'daughter', 'Elsie'), ('Elsie', 'son', 'David')]}]",daughter-son,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'son']","(0, 2)","John:male,Elsie:female,David:male",,"{0: 0, 3: 1, 14: 2}",train
5,703675ff-6930-497f-b5b2-8594b294b316,[Dorothy] is the mother of [James].  [Adam] is a son of [Dorothy]. ,"('James', 'Adam')",Who is [Adam] from the point of relation of [James] ? ,brother,['[James] has a brother named [Adam]. '],[Dorothy] is the mother of [James].  [Adam] is a son of [Dorothy]. ,"[{('James', 'brother', 'Adam'): [('James', 'mother', 'Dorothy'), ('Dorothy', 'son', 'Adam')]}]",mother-son,task_1.2,"[(0, 1), (1, 2)]","['mother', 'son']","(0, 2)","James:male,Dorothy:female,Adam:male",,"{19: 0, 4: 1, 18: 2}",train
6,0a6bf1e4-fa40-420f-ae68-a737a7f3dfe8,[Jennie] is a daughter of [John].  [Ethel] is [Jennie]'s sister. ,"('John', 'Ethel')",What is the family connection between [John] and [Ethel] ? ,daughter,['[Ethel] is a daughter of [John]. '],[Jennie] is a daughter of [John].  [Ethel] is [Jennie]'s sister. ,"[{('John', 'daughter', 'Ethel'): [('John', 'daughter', 'Jennie'), ('Jennie', 'sister', 'Ethel')]}]",daughter-sister,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'sister']","(0, 2)","John:male,Jennie:female,Ethel:female",,"{0: 0, 2: 1, 5: 2}",train
7,9ec0e0f2-1acd-4b96-99cd-99c86aafdaa0,[Jennie] is [Larry]'s wife.  [Sarah] is [Jennie]'s mother. ,"('Larry', 'Sarah')",How are [Larry] and [Sarah] related to each other ? ,mother-in-law,['[Sarah] is the mother-in-law of [Larry]. '],[Jennie] is [Larry]'s wife.  [Sarah] is [Jennie]'s mother. ,"[{('Larry', 'mother-in-law', 'Sarah'): [('Larry', 'wife', 'Jennie'), ('Jennie', 'mother', 'Sarah')]}]",wife-mother,task_1.2,"[(0, 1), (1, 2)]","['wife', 'mother']","(0, 2)","Larry:male,Jennie:female,Sarah:female",,"{6: 0, 2: 1, 1: 2}",train
8,dcb8842a-4226-4138-8bb8-0f5b0418253e,[Glen] is [Larry]'s son.  [Phyllis] is the wife of [Glen]. ,"('Larry', 'Phyllis')",Who is [Phyllis] from the point of relation of [Larry] ? ,daughter-in-law,['[Larry] has a daughter-in-law who is [Phyllis]. '],[Glen] is [Larry]'s son.  [Phyllis] is the wife of [Glen]. ,"[{('Larry', 'daughter-in-law', 'Phyllis'): [('Larry', 'son', 'Glen'), ('Glen', 'wife', 'Phyllis')]}]",son-wife,task_1.2,"[(0, 1), (1, 2)]","['son', 'wife']","(0, 2)","Larry:male,Glen:male,Phyllis:female",,"{6: 0, 8: 1, 27: 2}",train
9,91ac7bd3-dbc1-4a48-8bfa-ab0cd3e538af,[Dorothy] is [James]'s mother.  [Sarah] is the mother of [Dorothy]. ,"('James', 'Sarah')",Who is [Sarah] from the point of relation of [James] ? ,grandmother,['[Sarah] is the grandmother of [James]. '],[Dorothy] is [James]'s mother.  [Sarah] is the mother of [Dorothy]. ,"[{('James', 'grandmother', 'Sarah'): [('James', 'mother', 'Dorothy'), ('Dorothy', 'mother', 'Sarah')]}]",mother-mother,task_1.2,"[(0, 1), (1, 2)]","['mother', 'mother']","(0, 2)","James:male,Dorothy:female,Sarah:female",,"{19: 0, 4: 1, 1: 2}",train
