,id,story,query,text_query,target,text_target,clean_story,proof_state,f_comb,task_name,story_edges,edge_types,query_edge,genders,syn_story,node_mapping,task_split
0,78219d05-0d0e-4562-aed0-9f57f8f2c511,[Lucy] is [Rebecka]'s daughter.  [Brian] has a sister named [Rebecka]. ,"('Brian', 'Lucy')",Fill in the blanks : [Lucy] is [Brian] 's _. ,niece,['[Lucy] is the niece of [Brian]. '],[Brian] has a sister named [Rebecka].  [Lucy] is [Rebecka]'s daughter. ,"[{('Brian', 'niece', 'Lucy'): [('Brian', 'sister', 'Rebecka'), ('Rebecka', 'daughter', 'Lucy')]}]",sister-daughter,task_1.2,"[(0, 1), (1, 2)]","['sister', 'daughter']","(0, 2)","Brian:male,Rebecka:female,Lucy:female",,"{16: 0, 2: 1, 9: 2}",train
1,d0309524-5662-4cd4-8a3a-26de88c83e81,[Richard] has a brother named [Joel].  [Virginia] is the mother of [Joel]. ,"('Richard', 'Virginia')",How is [Richard] related to [Virginia] ? ,mother,"[""[Virginia] is [Richard]'s mother. ""]",[Richard] has a brother named [Joel].  [Virginia] is the mother of [Joel]. ,"[{('Richard', 'mother', 'Virginia'): [('Richard', 'brother', 'Joel'), ('Joel', 'mother', 'Virginia')]}]",brother-mother,task_1.2,"[(0, 1), (1, 2)]","['brother', 'mother']","(0, 2)","Richard:male,Joel:male,Virginia:female",,"{19: 0, 17: 1, 4: 2}",train
2,a4651dda-8351-4836-a1af-a6692cbe64bb,[Rebecka] is the mother of [Lucy].  [Dean] is the father of [Rebecka]. ,"('Lucy', 'Dean')","For [Lucy], who is [Dean] ? ",grandfather,['[Dean] is the grandfather of [Lucy]. '],[Rebecka] is the mother of [Lucy].  [Dean] is the father of [Rebecka]. ,"[{('Lucy', 'grandfather', 'Dean'): [('Lucy', 'mother', 'Rebecka'), ('Rebecka', 'father', 'Dean')]}]",mother-father,task_1.2,"[(0, 1), (1, 2)]","['mother', 'father']","(0, 2)","Lucy:female,Rebecka:female,Dean:male",,"{9: 0, 2: 1, 0: 2}",train
3,169d7e02-fa76-4019-8c8e-dd7751edb690,[Michael] is [Clarence]'s father.  [Clarence] is the husband of [Carol]. ,"('Carol', 'Michael')","For [Carol], who is [Michael] ? ",father-in-law,"[""[Michael] is [Carol]'s father-in-law. ""]",[Clarence] is the husband of [Carol].  [Michael] is [Clarence]'s father. ,"[{('Carol', 'father-in-law', 'Michael'): [('Carol', 'husband', 'Clarence'), ('Clarence', 'father', 'Michael')]}]",husband-father,task_1.2,"[(0, 1), (1, 2)]","['husband', 'father']","(0, 2)","Carol:female,Clarence:male,Michael:male",,"{33: 0, 15: 1, 3: 2}",train
4,de4e51e8-0eca-4b34-9a27-f190816c89e6,[Michael] is [Clarence]'s father.  [Virginia] is [Michael]'s sister. ,"('Clarence', 'Virginia')",What is the family connection between [Clarence] and [Virginia] ? ,aunt,"[""[Virginia] is [Clarence]'s aunt. ""]",[Michael] is [Clarence]'s father.  [Virginia] is [Michael]'s sister. ,"[{('Clarence', 'aunt', 'Virginia'): [('Clarence', 'father', 'Michael'), ('Michael', 'sister', 'Virginia')]}]",father-sister,task_1.2,"[(0, 1), (1, 2)]","['father', 'sister']","(0, 2)","Clarence:male,Michael:male,Virginia:female",,"{15: 0, 3: 1, 4: 2}",train
5,830d2873-e9e7-4a35-816a-a86db8ca3607,[Joel] is [Brian]'s son.  [Dean] is [Joel]'s grandfather. ,"('Brian', 'Dean')",Who is [Dean] from the point of relation of [Brian] ? ,father,"[""[Dean] is [Brian]'s father. ""]",[Joel] is [Brian]'s son.  [Dean] is [Joel]'s grandfather. ,"[{('Brian', 'father', 'Dean'): [('Brian', 'son', 'Joel'), ('Joel', 'grandfather', 'Dean')]}]",son-grandfather,task_1.2,"[(0, 1), (1, 2)]","['son', 'grandfather']","(0, 2)","Brian:male,Joel:male,Dean:male",,"{16: 0, 17: 1, 0: 2}",train
6,41b60911-5668-4a83-9f3a-e3eb6c89b3da,[Clarence] is a son of [Michael].  [Barbara] has a son called [Michael]. ,"('Barbara', 'Clarence')",What is the family connection between [Barbara] and [Clarence] ? ,grandson,['[Barbara] has a grandson who is [Clarence]. '],[Barbara] has a son called [Michael].  [Clarence] is a son of [Michael]. ,"[{('Barbara', 'grandson', 'Clarence'): [('Barbara', 'son', 'Michael'), ('Michael', 'son', 'Clarence')]}]",son-son,task_1.2,"[(0, 1), (1, 2)]","['son', 'son']","(0, 2)","Barbara:female,Michael:male,Clarence:male",,"{1: 0, 3: 1, 15: 2}",train
7,408620fd-d355-4248-9375-97a22e1d2356,[Pauline] has a daughter called [Shirley].  [Barbara] is [Shirley]'s grandmother. ,"('Pauline', 'Barbara')","For [Pauline], who is [Barbara] ? ",mother,"[""[Barbara] is [Pauline]'s mother. ""]",[Pauline] has a daughter called [Shirley].  [Barbara] is [Shirley]'s grandmother. ,"[{('Pauline', 'mother', 'Barbara'): [('Pauline', 'daughter', 'Shirley'), ('Shirley', 'grandmother', 'Barbara')]}]",daughter-grandmother,task_1.2,"[(0, 1), (1, 2)]","['daughter', 'grandmother']","(0, 2)","Pauline:female,Shirley:female,Barbara:female",,"{5: 0, 22: 1, 1: 2}",train
8,bfe03a39-57df-4981-8380-005a7552c52c,[Michael] is [Betty]'s father.  [Michael] has a brother named [Bobby]. ,"('Betty', 'Bobby')",Who is [Bobby] from the point of relation of [Betty] ? ,uncle,['[Bobby] is the uncle of [Betty]. '],[Michael] is [Betty]'s father.  [Michael] has a brother named [Bobby]. ,"[{('Betty', 'uncle', 'Bobby'): [('Betty', 'father', 'Michael'), ('Michael', 'brother', 'Bobby')]}]",father-brother,task_1.2,"[(0, 1), (1, 2)]","['father', 'brother']","(0, 2)","Betty:female,Michael:male,Bobby:male",,"{13: 0, 3: 1, 6: 2}",train
9,7df9a708-6b15-45e4-9d52-c79761a5a616,[Lee] has a brother named [Joel].  [Virginia] has a son called [Lee]. ,"('Virginia', 'Joel')",Who is [Joel] from the point of relation of [Virginia] ? ,son,['[Virginia] has a son called [Joel]. '],[Virginia] has a son called [Lee].  [Lee] has a brother named [Joel]. ,"[{('Virginia', 'son', 'Joel'): [('Virginia', 'son', 'Lee'), ('Lee', 'brother', 'Joel')]}]",son-brother,task_1.2,"[(0, 1), (1, 2)]","['son', 'brother']","(0, 2)","Virginia:female,Lee:male,Joel:male",,"{4: 0, 18: 1, 17: 2}",train
